invoice_id,client_id,client_name,project_id,invoice_date,due_date,invoice_amount,paid_amount,outstanding_amount,days_outstanding,aging_bucket,invoice_status,payment_terms
INV-2026-001,CLT001,Acme Corporation,PRJ001,2026-01-15,2026-02-14,45000.00,45000.00,0.00,179,0-30,Paid,Net-30
INV-2026-002,CLT002,Global Tech Solutions,PRJ002,2026-01-20,2026-02-19,78500.00,78500.00,0.00,174,0-30,Paid,Net-30
INV-2026-003,CLT003,Pinnacle Staffing Inc,PRJ003,2026-02-01,2026-03-03,32000.00,32000.00,0.00,162,0-30,Paid,Net-30
INV-2026-004,CLT001,Acme Corporation,PRJ001,2026-02-15,2026-03-17,47500.00,47500.00,0.00,148,0-30,Paid,Net-30
INV-2026-005,CLT004,MetroHealth Systems,PRJ004,2026-03-01,2026-03-31,91200.00,91200.00,0.00,134,0-30,Paid,Net-30
INV-2026-006,CLT002,Global Tech Solutions,PRJ002,2026-03-15,2026-04-14,82000.00,82000.00,0.00,120,0-30,Paid,Net-30
INV-2026-007,CLT005,Vertex Consulting Group,PRJ005,2026-04-01,2026-05-01,55000.00,55000.00,0.00,103,0-30,Paid,Net-45
INV-2026-008,CLT003,Pinnacle Staffing Inc,PRJ003,2026-04-15,2026-05-15,28500.00,28500.00,0.00,89,0-30,Paid,Net-30
INV-2026-009,CLT006,National Finance Corp,PRJ006,2026-05-01,2026-05-31,115000.00,115000.00,0.00,73,0-30,Paid,Net-30
INV-2026-010,CLT001,Acme Corporation,PRJ001,2026-05-15,2026-06-14,49000.00,49000.00,0.00,59,0-30,Paid,Net-30
INV-2026-011,CLT004,MetroHealth Systems,PRJ004,2026-06-01,2026-07-01,95000.00,95000.00,0.00,42,0-30,Paid,Net-30
INV-2026-012,CLT002,Global Tech Solutions,PRJ002,2026-06-15,2026-07-15,88000.00,44000.00,44000.00,28,0-30,Partial,Net-30
INV-2026-013,CLT005,Vertex Consulting Group,PRJ005,2026-06-20,2026-08-04,62000.00,0.00,62000.00,23,0-30,Open,Net-45
INV-2026-014,CLT007,Skyline Enterprises,PRJ007,2026-05-10,2026-06-09,73500.00,0.00,73500.00,64,61-90,Overdue,Net-30
INV-2026-015,CLT003,Pinnacle Staffing Inc,PRJ003,2026-04-20,2026-05-20,31000.00,0.00,31000.00,84,61-90,Overdue,Net-30
INV-2026-016,CLT006,National Finance Corp,PRJ006,2026-03-20,2026-04-19,108000.00,0.00,108000.00,115,90+,Overdue,Net-30
INV-2026-017,CLT007,Skyline Enterprises,PRJ007,2026-04-01,2026-05-01,67000.00,0.00,67000.00,103,90+,Overdue,Net-30
INV-2026-018,CLT001,Acme Corporation,PRJ001,2026-06-30,2026-07-30,52000.00,0.00,52000.00,13,0-30,Open,Net-30
INV-2026-019,CLT004,MetroHealth Systems,PRJ004,2026-07-05,2026-08-04,98000.00,0.00,98000.00,8,0-30,Open,Net-30
INV-2026-020,CLT002,Global Tech Solutions,PRJ002,2026-07-10,2026-08-09,85000.00,0.00,85000.00,3,0-30,Open,Net-30
